                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    143,                 1.4352,                0.86785,                0.90218,                0.98779,                      1,                  0.995,                 0.5695,                  1.476,                0.64832,                0.91381,             0.00087536,             0.00087536,             0.00087536
                    144,                 1.3112,                0.76038,                0.92109,                0.98127,                      1,                  0.995,                0.56783,                 1.4455,                0.62094,                 0.9085,             0.00086744,             0.00086744,             0.00086744
                    145,                 1.3356,                0.83566,                0.84161,                0.97063,                      1,                  0.995,                0.57281,                 1.4192,                0.62135,                0.90914,             0.00085952,             0.00085952,             0.00085952
                    146,                 1.2988,                0.77036,                0.87019,                0.96254,                      1,                  0.995,                0.58576,                 1.4235,                0.60338,                0.91295,              0.0008516,              0.0008516,              0.0008516
                    147,                 1.3468,                0.74401,                0.93495,                0.94644,                      1,                  0.995,                0.58691,                 1.4197,                 0.6371,                 0.9155,             0.00084368,             0.00084368,             0.00084368
                    148,                 1.3884,                 0.8342,                0.97589,                0.97754,                      1,                  0.995,                0.57842,                 1.4139,                0.63946,                0.92445,             0.00083576,             0.00083576,             0.00083576
                    149,                 1.2753,                0.70805,                0.91728,                0.98718,                      1,                  0.995,                0.59034,                 1.4497,                 0.6501,                0.93038,             0.00082784,             0.00082784,             0.00082784
                    150,                 1.2877,                0.71018,                0.95657,                0.91644,                      1,                  0.995,                0.59691,                 1.4574,                0.63125,                0.92745,             0.00081992,             0.00081992,             0.00081992
                    151,                 1.1263,                0.75486,                0.84437,                0.98515,                      1,                  0.995,                0.57403,                 1.4194,                0.60307,                0.92302,               0.000812,               0.000812,               0.000812
                    152,                 1.1893,                0.75317,                0.92968,                0.97472,                      1,                  0.995,                0.61201,                 1.3838,                0.58282,                0.91454,             0.00080408,             0.00080408,             0.00080408
